content,sentiment
kebanyakan iklan kere kere,0
Tolong bantu akses ke youtube,0
ga bisa di update YouTube nya?,1
oke baik.,1
sangat bagus,1
assalamualaikum brow,1
Sangat bagus,1
Sangat puas,1
sangat memuaskan1,1
bgus,0
lawak kgk bisa di update kocak,0
cari lagu,1
Kenapa di hp sy ini sdh gk bs lg youtube nya...,1
Video bopxxxxxxxxxx,1
"sekarang jadi sering error touch gak bisa, sejak ada fitur minimize",0
Hai Up,1
bagus dan keren,1
kenapa sekarang YouTube tidak bisa lagi diakses melalui aplikasi android proyektor kalau diinstal ulang malah tidak terdaftar ? .,1
kurang-kurangin lah iklan di youtubenya perasaan semakin tambah terus mengganggu banget boleh ada iklan tapi nggak sebanyak ini juga!!!,0
Tidak bisa di buka,0
uuujas Eijee Skkkdkmrl,1
nice,1
goodd,1
lu yang bener aja lah masa iklan di YouTube ada slot remaja banyak yang pake YouTube biasa oh bukan YouTube kids,0
bagus,1
bug layar hitam perbaikilah ngntd,0
Sangat membantu,1
oke bos,1
ini,1
Saya tdak bisa masuk,1
bagus saya suka,1
baguss,1
sahrul umar,1
Tidak bisa nonton bokep,0
Bgus skali,1
Oke,1
semenjak ada fitur baru makin aneh ni yt kok ada suara otomatis,0
oke,1
Mantap,1
aplikasi yg sangat bagus..ayo download skrg juga gak bakalan nyesel,1
Inak baget,1
sangat bagus,1
makin seru nonton film,1
cukup puas,1
Please reactivate my account... because the content is educational and learning... my account: @cintaumatislam.. please help me.. I need my account,0
oke,1
"Kenapa saya tidak bisa membuka aplikasi yutube,dan kenapa aplikasi nya tidak bisa di updet",1
aplikasi ya eror tidak bisa ditonton ton,0
"sekarang isi iklan di youtube isinya judol semuah heran bisa""nya tayangin iklan yang ga bermanfaat sama sekali",0
"layar youtube saya kenapa jadi kuning yaa di pengaturannya atau apa yaa, tolong di bantu admin biar normal lagi",0
YouTube saya di android ko tidak bisa di gunakan lagi,1
bagus,1
Bagus.tp sayang dikit dikit iklan GK jelas,0
Menonton aplikasiYang ko suka,1
"Tidak bisa menggunakan dark mode padahal sudah swap ke on. please fix this bug google, your app (Youtube) can't apply dark mode even though i've already set it on to dark mode. The light mode burn my freakin' eyes",0
G bisa di buka,0
bagus,1
bagus,1
mantap,1
bagus,1
siip,1
Top global 100%,1
"YouTube sekarang makin gajelas padahal mode jeda history nonaktif tapi history tontonan gak muncul, jadi bikin ribet nyari video yang baru setengah ditonton",0
iklan nya makin nanyak anjink,0
"source of all information, a lot of knowledge can be found in this application.",1
YouTube gak bisa d buka,1
Kurang cepat,0
mantapzz,1
Mshku putar lagunya tiap mlm,1
kenapa YouTube sasa gak bisa Di buns lagi,1
hala yanti,1
"kenapa video short YouTube, video YouTube, livestreaming game YouTube dan livestreaming YouTube saya nol penonton... tolong konfirmasi",0
hei ini apk YouTube semakin lama bukannya semakin bagus malah sebaliknya banyak bug lah stak lah apalh tolonglah,0
iklannya makin panjan,0
kok setelah update jadi sering force close ya yt,0
Tidak bisa di gunakan.,0
Bet bukmcup di awet iv grup seru,0
ripal,1
ok ok,1
Ga di buka,0
Mantap,1
"Iklan 1 menit no skip 🤣🤣 Setiap skip vidio iklan,mana pinjol (pinjaman kont*ol) 🤣👎 Gua tau itu emng kekurangan ngak premium, cuma pas tahun 2020an nggk gini, apa mungkin karena Rp melemah kek mental boomer di gedung hijau berbarikade pagar 100km🤣🤣🤣👎",0
Tidak bisa di buka,0
Pokok nya puas . few,1
terbaru,0
Pgn liat pengalaman,0
Mntap,1
ok,0
mohon untuk pihak YouTube jikalau follower atau subscribe sdh naik jgn di kurangi atau di hilangkan subscribe nya yg sdh di dapat krna tdak mudah untuk mencari subscribe dgn susah payah tiba-tiba hilang subscribe yg telah di dapatkan dgn susah payah mhon hargai susah payah dan jerih payah orang lain trimakasih. 🙏,0
kenapa pesbukku gabisa di pake,0
Aku mau masuk,1
Romairama,1
Bagus,1
kren,1
ibadan,1
bagus,1
Baguss,1
Gimana cara menggunakan you Tube,1
mau downloadjadi film offline jadi lolam,0
bguz,1
"oy youtube cemmana lah apk kau ini lagi asik nonton ini malah gangguan ga bisa di play sama sekali short juga, udah ku coba keluar terus masuk lagi ga bisa lo, ganti akun sama aja, ku coba lagi keluar terus masuk lagi video yang di saranin sama semua sampe ke short nya juga 10 ku coba",0
"bro u gotta be kidding, why this apk always get lag",0
Gk ada,1
apaansih? benci banget kalo ada iklan judi.,0
No coment,1
andri yuda,1
panitia Kurban. Go YouTube video klip ungu ciumman pertamaku 😊😊😊🔛,1
by ok.,1
bagus,1
Ngak bisa di tonton,0
"udah mulai muncul iklan yg gak bisa di skip, apa lagi pas nonton streaming malah diganggu sama iklan 😑",0
Asik,1
Bagus,1
Bagus sekali,1
bagus,1
pilemq🐎uqel. ☑️,1
okey,1
tidak jelas tolol,0
suka aja sih,1
Sangat puas,1
Ą̵̘̥͉̘͖̱̥̺̿̀̈̒̂̅̀̅̈́̓̏͊͘͝k̵̨̪̖͇͙͎̜͊̌͘͜u̴̢̠͎̲̗̮̤̥̪̖̦͈͕͛̈́̀̒̒̄̚͠ ️ş̵̛̳̍̃̏͆̏̂̎͌͘͝͝͝͝ẹ̷͓̺̰̽̍͛̉̐̔͋̓̚͜ŕ̶̛̰̱̈́̀́̑̿̾͛͂̈́͗̓̈́̒͘͝️i̵̢̢̡͚̩̞̥͕̜̻̫̩̐̈͘͜u̴̢̠͎̲̗̮̤̥̪̖̦͈͕͛̈́̀̒̒̄̚͠️ş̵̛̳̍̃̏͆̏̂̎͌͘͝͝͝͝ kenapa bugnya? hah jelek banget,1
Bagus,1
asik,1
Senang,1
gw ngan,1
"Pas saya buka YouTube kok layarnya malah hitam, padahal saya mau cari ide untuk sehari-hari tapi kok pas saya buka YouTube malah layarnya hitam, tolong di perbaiki!!!!!!!!!!!!.",0
siti,0
jelek bgt,0
mantap,1
Seru untuk temen nonton,1
untunmainn,0
fitur ini jelek mau pindah berita anime voli dll susah,0
"Video short beruang, padahal sudah ditonton tapi muncul lagi di rekomendasi berkali-kali",0
Ok,1
bagus,1
ku kata sih untuk download mod ini bergua untuk ku biar bisa download mod,1
"Sangat buruk performa YouTube akhir-akhir ini. Sungguh mengecewakan. Bug dimana-mana. Apalagi ketika iklan, bug nya itu sangat menyebalkan. Karena harus me-restart ulang handphone. Karena video tidak bisa di putar kembali jika perpindahan ke iklan sialan itu. Sangat menyebalkan. Sudah banyak yang komplain. Kenapa belum ada perbaikan? hallo pihak YouTube. Team. Staff ? Dimana kalian? kenapa kualitas YouTube semakin memburuk?",0
slebew,1
makin kesini makin busuk apk ini,0
👍👍👍👍👍,1
tidak bisa di buka,0
Onethy,0
sukses slalu youtube,1
ton cup work also also also idiots soap Kristi outdoors speak outfield rock this clock pushcart iCloud scrap outlast tbsp Kelsi racism khakis expos fob Unix sick Isobel Oxford also hallmark lamp Odell halo usual iCloud slick halo Del brother also into back Cindy Gilberto Santa Claus parade tomorrow at school today and I'm sorry not work. p. ..iCloud sicko rooms soon keep Odell Odell Jack Taco record some also tons epic honcho gold honcho panoramic Hannah landfill UFO pickl overstock Kelci,1
tolong ya ini hp Aku aja yang nge lag atau apa tapiii selalu ga bisa liat YouTube,0
Saya suka dengan youtup ini,1
Mantapkan Man,1
BAGUS DAN BAIK,1
Bagus aku kasih bintang 5,1
Tidak bisa di buka,1
ᴊᴇʟᴇᴋ,0
kenapa youtube ngk bisa pakai,0
"YouTube saat ini main blokir ,vidio yang di aplod,bila ada musik nya,jelek,buruk ga kaya dulu. YouTube 👎👎👎",0
bug nya bikin gw nangis qnj,0
YouTube sangat dimininati anak muda dan tua,1
bagus,1
sumpah GPP iklan sampe 2 kali tapi sub bahasnya di perbaiki dong,0
susah masuk,0
Enak,0
akun ke banned,1
enak,0
josjis,1
hebat layangan,1
eror,1
Mantap,1
"Saya kurang suka karna,, youtube nya eror dan gk bisa di update",0
tolong bug berbaiki 🤗,1
Gpp aja yutub nya gak bisa di pakek,1
ok,1
Bgus,1
ikan enggk bisa di sekip,0
Susahh untuk mendonlot,0
sya suka,1
mantap,1
di update makin aneh,0
abis update malah ngeselin,1
Kenapa hp saya ini gak bisa lagi youTube mohon penjelasan dari pihak opsional terima kasih.,1
ga bisa di buka,1
saya suka,1
banyak iklannya dan tidak bisa di skip,0
Keren,1
莫莫莫名,1
Tidak bisa buka,0
lemah,0
I can search anything about my favorite videos,1
"yt semakin lama semakin sering ngebug, seperti shortsnya yang ada blackbarnya kalau habis buka komen, tidak bisa memilih timestamp, tidak bisa balik ke video setelah di minimize, dan banyak lagi, padahal saat masih pakai iphone aman saja tapi setelah balik ke android malah jelek. Tolong lah company sebesar google masa jelek gabisa benerin yt",0
mantap,1
"aplikasi yang sangat bermanfaat. Karna membantu saya jika sedang bosan, dan di aplikasi ini banyak video yang bagus dan menghibur. Mungkin bagi yang merasa macet, lag, atau ada masalah itu karna masalah di hp yang ""murah"" sehingga memengaruhi kinerja. Dan saya tahu pembuat video, aplikasi juga mencari uang dari iklan dan saya bisa memaklumi. Seluruhnya sudah baik.",1
You Tubg,1
Bagus,1
tidak dapat login,1
Bagus,1
top,1
ok,1
Bagus,1
YouTube ini tidak bisa di-update,1
Sangat bagus,1
Mantap,1
Mantap,1
bagus berguna benget,1
no komen 💯,1
Kok gak kebuka youtube,1
danil,1
kok TDK bisa dibuka atau diinstall lagi,1
Saya mau melihat YouTube sambil buka aplikasi tolong Banget di tablet saya,1
Entah,0
sangat memuaskan,1
lagu-lagu p,0
Upset terus,1
"kalo misalnya buat kualitas hd nya tinggi, suka ngelag",0
Bagus,1
"Perbaiki trek audio, kurangi iklan... Ini YouTube malah kebanyakan mengubah yang nggak perlu :)",0
buruk babi anjir,0
Baik,1
"saya kecewa dengan YouTube sekarang, iklan-iklan yang bertebaran terkhusus di shorts YouTube yang mengandung hal-hal yang sebenarnya masih tabu bagi anak-anak underage saya saja sebagai orang dewasa merasa risih melihat iklan-iklan tersebut. Tolong ke depannya pihak YouTube dapt memfilter sebelum menayangkan iklan-iklan tersebut ke khalayak 🙏",0
Di rumah,1
"Youtube sy kenapa gak bisa di buka ya ? Tolong dong agar bisa di buka kembali agar sy bisa menonton lg , perlu sekali krn sy belajar masak dari Youtube 🙏",1
mantp,1
Youtub yaa bagus dan keren,1
youtube,0
bagus,1
tempeckkkk,1
sangat bagus,1
mudahkan,1
takutnya diblokir YouTubenya ya,1
Sekalipun agak laen...,1
lumayan,1
jawatimur,0
eygson.,1
"bug nya dibenerin lah,itu mutar video ilang mulu kek kena hack ditambah bug iklan yg tiba"",mau nonton/play music video gambar nya ilang mulu",1
bagud,1
subtitle nya nge bug bos.. g keluar,1
"ini knp jadi sering nge bug sih YouTube nya? jadi terganggu banget kalok lagi ngebug gni di buat putar vidio tetep nga bisa bisa loh, padahal jaringan nya juga bagus mana kalok ngebug gni biasanya Sampek 1-2 hari",0
Ayooo go,0
"Ads before & during watching live streams? Can you not forcing us users to watch ads on every single type of content in this platform? If you want to sell Premium, there are many better ways to do so.",0
Youtubenya bagus,1
"nice pengurangan, tetapi youtube kok dihapus yang buat cari sehari hari sama youtuber yang di subscribe jadi bingung+susah buat nyari konten baru dari youtuber lain mohong ditangani",1
"iklannya semakin banyak sekaramg, klik video langsung muncul iklan setelah lima menit muncul kembali iklannya intinya disatu video bisa muncul 5 sampai 10 iklan. iklan yang muncul selalu dua sekaligus yang tidak bisa diskip untuk iklan pertama.",0
tolong youtube saya tidak bisa di gunakan,1
seseru ini looo main ny,1
mohon diperbaiki karna diban tanpa alasan yang jelas🙏🙏🙏🙏,1
😇😇😇😇😇😇😇😇,1
Bahus,1
"kok di hp saya ga bisa di update tolong , @developer bantu saya",1
suka 👍,0
saya sehat,1
stop update 🤮🤬,0
Kalo gabut YouTube solusinya wkwkkwkwkw,1
ayo download ini YouTube,1
Tidak memuaskan,0
"semua fiturnya menurutku udah bagus bgt. problemnya cuma satu di aku satuuu aja, ""iklan judi"" di bagian beranda, aku ga ngerti ini emg dari pihak yt nya yg ngasih fitur iklan gitu atau gimana. udah di report muncul iklan judol yg lain, report lagi muncul lagi yang lainnya ganggu bgt sumpah. mungkin kalo iklan yg ga berbau judol masih bisa diterima ya ini yg muncul judiiiii semua GW GA TERTARIK PLEASEEEE!!!! kasih kita yg gratisan ini keringanan. gapapa iklan, asal JANGAN IKLAN JUDI!!",1
bagus,1
",w",1
ok you tube nggak bisa d buka,1
top,1
"Aplikasi ini sangat keganggu banget dah, dan selalu Rusak-rusak terus dan video berpindah yang lain tolong perbaiki YouTube agar kembali normal kayak dulu lagi dan jangan bercanda dan ini sangat serius",0
knp dibukak tdk bisa,0
menambah pergaulan dan wawasan,1
Krennn,1
sangat bagus,1
sukses,1
Membantu dan menghibur,1
bagus,1
Tidk bisa di update,0
Tidak bisa di gunakan,1
igan ito,0
aku suka sama YouTube nya seru🫰🤗,1
Iklan tidak membantu,1
👌,1
Bgus,1
terbaeek,1
seru banget ada yutub,1
Tidak ada.,1
"makin kesini ada aja bug nya tolong lah perbaiki bug nya dulu, nggak bisa putar video lah, kadang video shorts nya glitch lah apalah, perbaiki dulu bug nya jangan tambahin fitur mulu",0
gk bisa di buka,0
Baik,1
Gak bisa buat nonton,0
sangat baik,1
sngAt baik,0
aplikasi tidak bisa di gunakan,0
Ga guna jir,0
bgus banget,1
bgus.,1
kebanyakan iklan dan tidak bisa di skip,0
Tdk dpt uograde,0
Tidak apa apa,1
👍,1
Bagus,0
Sangat memuaskan,0
kebanyakan iklan,0
"MUNCULKAN KEMBALI ANGKA DI DALAM DOWNLOAD OFFLINE. ITU SANGAT BERGUNA MENGAPA DIHILANGKAN..? Jika ada video yg hilang, angka akan BERKURANG OTOMATIS.",0
ada bug yang bikin gambar di tab komunitas gak bisa difullscreen bahkan sekarang gak bisa lihat seluruh postingannya. Pinned livechat malah pindah ke bawah jadinya gak kelihatan. ★1 sampe semua dibenerin.,0
tolong lah saya tidak bisa log in ke akun saya dan saat ingin buat akun baru/log in gak bisa tolong di perbaiki lagi,0
Tolong durasi you Tube jangan berhenti,0
bagus,1
Mau lagu lawas malaysia isa bela,1
"mantap, keren",1
bagus aja,1
Bagus,0
ngebug,0
wow banyak iklannya :),0
ya seru seru ajaa tapi gak bisa bikin video 😭😭😭,0
Pas,1
Mencari foto2 yg hilang,1
Bagus,1
Gw gk bisa masuk,0
kok sekarang muncul iklan judol sih,0
Eweuh te endah,0
"harus kali tekan tombol x dilayar untuk ngilangin tampilan tombol, padahal versi sebelumnya cukup tapi layar saja.",1
Still Better till Now,1
Gimana cara buka apl you tube kok ngga bisa d buka,0
mantap,1
sangat puas,1
mantap,1
mntap,1
bagus buat anak saya,1
ok,1
sangat lah bagus,1
keve,1
mantap,1
Alhamdulillah bagus,1
BSk agong,1
Puas,1
"kalo boleh jujur, aplikasi ini sudah bagus cuman ada yg kurang yaitu saat saya membuka aplikasi ini terus saya pencet video tiba tiba layar nya hitam😫.Jadi,saya harus buka tutup aplikasi nya lagi😒.Tolong di perbaiki ya! 😖",1
keren,1
saya tidak bisa menginstal aplikasi yuotube,1
Y .,1
good job,1
Saya suka musik dan lagu karaoke,0
optimiss,1
bagus. nilai♾️,1
Kepa yoto tida isa,1
woylah layar hitamnya lama bgt dan YouTube gw gak bisa di buka sekarang,0
Karena jeren,1
Kangen YouTube dlu sumpah klo bisa developer kembali ke youtube dlu,0
JESIKA,0
Baik,1
ridho,1
kenapa saat aku ingin mengganti hendel itu kok bergerak ke atas dan kebawah,0
ok,1
gw bentar lagi ganti akun dari nazi jerman jadi fakhri ganteng kok malah di banned gak jelas lu ini,0
baik saja,1
Berita it's Di YouTube delay neutral Dan bags.,1
Video yang sudah didownload tidak muncul subtitle nya. padahal kalau nonton online subtitlenya ada.Tolong segera di perbaiki dong,1
i hdo,1
OK bngt,1
Bags sekali,1
baguss cuman videonya kurang update,1
julianto,1
Gk bagus,1
ok mantep nih,1
aku gak bisa nonto,1
mengunduh abdet nya ko lama sih lama bangettt cuman nunggu in ini ajah kata nya cuman 1 menit inih lebih dari 1 menit udak 5 menit dah lamah nya,0
Tolong kenapa youtube ini tidak bisa,0
👍👍👍,0
Pembaruan,0
kadang kadang agak Laen masa ga bisa translet bahasa indonesia,0
bagus,1
bagus,1
bagus,1
"semakin aneh, boleh ada iklan tapi yang logis durasinya.. iklan masa film pendek. kami mau nonton di youtube bukan nonton iklan, adapun iklan yang durasi normal.",0
good app,1
3 aja,1
bagus dan nyama untuk di pake,0
Sangat bagus dan mengistirasi,1
kualitas youtube jelek,1
Sangat bagus,1
Mantaap,1
baguss bangetttt,1
"Jujur, youtube sekarang kenapa sering banget eror dan suka keluar sendiri ya bahkan ketika sedang nonton live dia suka tiba-tiba keluar iklan yang tidak seperti biasanya, yang biasa kalau muncul iklankan cuman full layar iklan doang sekarang kenapa malah sekali iklan malah terbagi menjadi dua layar? yang keluar suara cuman suara iklan doang sedangkan live yang saya nonton suaranya ilang jadi, mau nggak mau sekali iklan habis harus play ulang biar nggak ketinggalan dialog🤧",1
sekarang iklannya lama banget huuhu,1
tolong kembalikan aplikasi youTube di hp ini biar sy bs menikmatinya,1
kami dukun aplikasi bagus,1
jellek,0
au ah,1
🍳🍔🍳🍔🍳🍯🍔🍳🍫🍬🍪🍕🍖🍖﻿💤💤💤💤💤 ☁☁☁💤☁ ☁☁💤☁☁ ☁💤☁☁☁ 💤💤💤💤💤 ☁ Sleepy ☁ ﻿💤💤💤💤💤 ☁☁☁💤☁ ☁☁💤☁☁ ☁💤☁☁☁ 💤💤💤💤💤 ☁ Sleepy ☁ Good Night 💤🌙 😊 Sweet Dream 🌠🌠🌠🌠🌠🌠🌠 Good Night 💤🌙 😊 Sweet Dream 🌠🌠🌠🌠🌠🌠🌠 🌱🍯🌱🌱🍯🌱🐝🌱 🌱🍯🌱🌱🍯🌱🌱🌱 🌱🍯🍯🍯🍯🌱🍯🌱 🌱🍯🌱🌱🍯🌱🍯🌱 🌱🍯🌱🌱🍯🌱🍯🌱 🌼🌱 Hi honey! 🌱🌼 ﻿💤💤💤💤💤 ☁☁☁💤☁ ☁☁💤☁☁ ☁💤☁☁☁ 💤💤💤💤💤 ☁ Sleepy ☁ Good Night 💤🌙 😊 Sweet Dream 🌠🌠🌠🌠🌠🌠🌠 -):-C:-C:-CB-):'(B-)B-):-$B-)-):'(:-C T FM Khfddf,1
teksnya sering ilang-ilangan Jadi kalau nonton konten dari luar negeri aku nggak bisa lihat subtitlenya,1
Keluarga saya,1
"patah Tidak bisa si instal Di oppo f1 s, gantu yang cina saja",0
bagus,1
Ij,1
"ga bisa di buka, muncul tulisan youtube tidak menanggapi👎🏻",0
gaje banget di update Mulu di aku,0
gila iklan banyak banget parah,0
Lu jelek,0
bagus,1
Good,1
sangaat baik untuk hiburab,1
buat saya lumayan bagus dan iklan nya tolong kurangi,1
mantap,1
oke,1
😭,0
Aska,1
Tidak dapat tampil diaplikasi,0
baik,1
Mntap,1
karena ini sumpah menarik semua,1
bagus srkali,1
Jozz,1
mantab,1
jelek,0
Ok,1
bisa bikin akun juga bisa bikin cenel,1
mantap,1
Bagus,1
sangatlah bagus banget bagi ku pengguna YouTube,1
aku suka yutube,1
leka dan dista dan lain lainnya,1
Sopir rental,0
bagus banget,1
ok,1
sukses selalu,1
g bisa didownlod,0
karena YouTube bagus,1
keren,1
Kenapa tidak bisa di update,0
stop update🤮🤬,0
cukup membantu,1
iklannya sangat menggangu,0
asu kebanyakn iklan,0
Slivia,1
Aplikasi ini membantu saya saat gabut,1
iwandi,1
Bagus,0
tolong buat developer hapus iklan judol di youtube ini mohon di hapus se cepat nya,0
Hp ku gax bisa instal youtobe versi sekarang,0
mantap,1
kok bisa you tube gk bisa di putar,1
Ini Bagus Ada Lagu Tapi Harus Login Terlebih Dahulu Sebelum Nonton,0
sangat seru,1
di hp ku ini suka kembali udah copa berapa kali pasti keluar keluar terus pengen gw hapus da ini yutub 😡🤬😡😡🤬😡🤬😡,0
gak bisa komen,1
Aku sukak banget lihat youtup,1
aplikasi ini sangat seru sekali,1
saya tidak bisa mendownload video seperti nya lagi error,0
bagai mana cara update nya tidak bisa saya pencet update malah aplikasi tidak koptibel dengan ponsel anda,1
. !i wan,1
ok,1
nonton pengajian... film layar lebar indonesia bebas tanpa ada iklan sama sekali👍😘... padahal enggak pernah nyoba ujicoba yutub premium. sering²lah kasih gratisan seperti itu buat qt orang yg bukan pelanggan yutub premium. tp sayangY aq gak bisa ngasih komentar dikolom komentarY film yg aq tonton karna masalah nama. padahal itu beneran akun email aq...,1
Bagus,1
Ko gk bisa terbuka youtube ya bos bisa di bantu bos,1
Baik,1
UNTUK YOUTUBE BAGUS SIH TAPI TOLONG HAPUS LOADING NYA KARENA ITU SANGAT MENYEBALKAN SETIAP NONTON LOADING MULU APK NYA BAGUS TAPI YANG BIKIN KESEL ITU LOADING NYA TOLONG DI HAPUS YA LOADING NYA YA🙏,1
padahal baru update tadi pagi kenapa lagi di apdate di siang nya,0
b aja,1
Sangat cocok untuk Anda yang ingin dicapai dengan berjalan kaki dari stasiun televisi swasta nasional dan internasional yang ingin dicapai dengan kendaraan bermotor yang ingin Anda lakukan,1
Akusuka youTube ny😊😊😊😊,1
bot kacunggg,1
jangan sering gangguan donk,1
"ini situs vidio website bagus, emang banyak youtuber.",1
Aplikasai,1
kecewa tiba-tiba gak bisa diputar,0
bagus YouTube nya banyak yang di lihat,1
saya ingin buka yutub ini,1
"iklan selang beberapa detik, apa YouTube kehilangan jiwanya? apakah ini aplikasi iklan dan YouTube jadi promosinya? video Ngeblank setelah iklan harus hapus cache. bayangkan itu bukan sekali dan bahkan berkali-kali. jadi gimana pihak YouTube untuk tidak merugikan pihak penonton. kuota kita juga hasil uang kita",0
Indosiar 6,0
tidak hanya untuk mendapatkan,1
bisa download film banyak,1
mantap,1
"Redmi 5a Tidak bisa gunakan aplikasi nya, kenapa ya",1
bagus,1
"Nggak bisa,buka youtube",1
sangat baik untuk pendidikan,1
Youtube bagus,1
YouTubenya bagusnya banget aku kasih 5 bintang😎😎,1
gak bisa di buka,0
terima kasih semoga penyajian berita dan hiburan lainnya selalu bagus,1
Bagus,1
fuf,0
Sangat menyenangkan,1
baik,1
"terdapat bug ketika menekan layar (2× speed) dalam waktu yang cukup lama, video akan stuck bahkan bisa menjadi layar hitam dalam keadaan audio masih berputar",0
asik,1
sering tonton video anak kecil,1
eror terus walau pkek wif,1
lumayan bagus dan bisa nonton video offline dengan download cocok kalo lagi ga ada sinyal,1
"Sumpah, ini YouTube makin ga bener. Bug terus kalo abis iklan, video nya jadi ga bisa diputer. Bahkan ga cuma yt doang, video aplikasi lain bahkan galeri juga ga bisa diputer. Masa harus restart HP terus. Nyusahin banget tolong",0
Kecewa tiba2 you tube tidak bisa dibuka,0
manta🫣😍💯,1
bututt,0
tlg di perbaiki tidak bisa di gunakan di unduh tidak bisa,0
