userName,score,at,content
Pengguna Google,5,2026-06-07 21:29:44,sangat bagus
Pengguna Google,5,2026-06-07 21:21:00,assalamualaikum brow
Pengguna Google,5,2026-06-07 21:08:42,Sangat bagus
Pengguna Google,5,2026-06-07 20:52:43,Sangat puas
Pengguna Google,5,2026-06-07 20:26:41,sangat memuaskan1
Pengguna Google,2,2026-06-07 20:25:08,bgus
Pengguna Google,1,2026-06-07 20:16:43,lawak kgk bisa di update kocak
Pengguna Google,3,2026-06-07 20:14:26,cari lagu
Pengguna Google,5,2026-06-07 20:12:56,Kenapa di hp sy ini sdh gk bs lg youtube nya...
Pengguna Google,5,2026-06-07 20:10:14,Video bopxxxxxxxxxx
Pengguna Google,1,2026-06-07 19:53:29,"sekarang jadi sering error touch gak bisa, sejak ada fitur minimize"
Pengguna Google,5,2026-06-07 19:53:25,Hai Up
Pengguna Google,5,2026-06-07 19:44:28,bagus dan keren
Pengguna Google,3,2026-06-07 19:41:20,kenapa sekarang YouTube tidak bisa lagi diakses melalui aplikasi android proyektor kalau diinstal ulang malah tidak terdaftar ? .
Pengguna Google,1,2026-06-07 19:31:38,kurang-kurangin lah iklan di youtubenya perasaan semakin tambah terus mengganggu banget boleh ada iklan tapi nggak sebanyak ini juga!!!
Pengguna Google,1,2026-06-07 19:16:22,Tidak bisa di buka
Pengguna Google,5,2026-06-07 19:15:10,uuujas Eijee Skkkdkmrl
Pengguna Google,5,2026-06-07 19:12:19,nice
Pengguna Google,4,2026-06-07 18:56:52,goodd
Pengguna Google,1,2026-06-07 18:56:12,lu yang bener aja lah masa iklan di YouTube ada slot remaja banyak yang pake YouTube biasa oh bukan YouTube kids
Pengguna Google,4,2026-06-07 18:44:32,bagus
Pengguna Google,1,2026-06-07 18:31:58,bug layar hitam perbaikilah ngntd
Pengguna Google,5,2026-06-07 18:27:14,Sangat membantu
Pengguna Google,5,2026-06-07 18:22:32,oke bos
Pengguna Google,5,2026-06-07 18:21:55,ini
Pengguna Google,4,2026-06-07 18:21:14,Saya tdak bisa masuk
Pengguna Google,4,2026-06-07 18:20:57,bagus saya suka
Pengguna Google,5,2026-06-07 18:19:24,baguss
Pengguna Google,5,2026-06-07 18:18:26,sahrul umar
Pengguna Google,1,2026-06-07 18:10:04,Tidak bisa nonton bokep
Pengguna Google,3,2026-06-07 18:10:00,Bgus skali
Pengguna Google,5,2026-06-07 18:03:18,Oke
Pengguna Google,1,2026-06-07 17:54:39,semenjak ada fitur baru makin aneh ni yt kok ada suara otomatis
Pengguna Google,5,2026-06-07 17:52:57,oke
Pengguna Google,3,2026-06-07 17:45:00,Mantap
Pengguna Google,5,2026-06-07 17:30:24,aplikasi yg sangat bagus..ayo download skrg juga gak bakalan nyesel
Pengguna Google,5,2026-06-07 17:26:59,Inak baget
Pengguna Google,5,2026-06-07 17:21:48,sangat bagus
Pengguna Google,5,2026-06-07 17:19:32,makin seru nonton film
Pengguna Google,5,2026-06-07 17:19:25,cukup puas
Pengguna Google,1,2026-06-07 17:17:28,Please reactivate my account... because the content is educational and learning... my account: @cintaumatislam.. please help me.. I need my account
Pengguna Google,5,2026-06-07 17:14:07,oke
Pengguna Google,5,2026-06-07 17:10:16,"Kenapa saya tidak bisa membuka aplikasi yutube,dan kenapa aplikasi nya tidak bisa di updet"
Pengguna Google,1,2026-06-07 17:07:15,aplikasi ya eror tidak bisa ditonton ton
Pengguna Google,1,2026-06-07 17:04:07,"sekarang isi iklan di youtube isinya judol semuah heran bisa""nya tayangin iklan yang ga bermanfaat sama sekali"
Pengguna Google,1,2026-06-07 17:03:39,"layar youtube saya kenapa jadi kuning yaa di pengaturannya atau apa yaa, tolong di bantu admin biar normal lagi"
Pengguna Google,5,2026-06-07 17:01:16,YouTube saya di android ko tidak bisa di gunakan lagi
Pengguna Google,5,2026-06-07 16:58:32,bagus
Pengguna Google,1,2026-06-07 16:54:05,Bagus.tp sayang dikit dikit iklan GK jelas
Pengguna Google,5,2026-06-07 16:47:38,Menonton aplikasiYang ko suka
Pengguna Google,2,2026-06-07 16:41:45,"Tidak bisa menggunakan dark mode padahal sudah swap ke on. please fix this bug google, your app (Youtube) can't apply dark mode even though i've already set it on to dark mode. The light mode burn my freakin' eyes"
Pengguna Google,1,2026-06-07 16:39:45,G bisa di buka
Pengguna Google,5,2026-06-07 16:37:13,bagus
Pengguna Google,5,2026-06-07 16:36:17,bagus
Pengguna Google,5,2026-06-07 16:34:59,mantap
Pengguna Google,5,2026-06-07 16:34:44,bagus
Pengguna Google,5,2026-06-07 16:32:27,siip
Pengguna Google,5,2026-06-07 16:29:29,Top global 100%
Pengguna Google,1,2026-06-07 16:29:15,"YouTube sekarang makin gajelas padahal mode jeda history nonaktif tapi history tontonan gak muncul, jadi bikin ribet nyari video yang baru setengah ditonton"
Pengguna Google,1,2026-06-07 16:28:51,iklan nya makin nanyak anjink
Pengguna Google,5,2026-06-07 16:19:17,"source of all information, a lot of knowledge can be found in this application."
Pengguna Google,5,2026-06-07 16:18:38,YouTube gak bisa d buka
Pengguna Google,1,2026-06-07 16:17:10,Kurang cepat
Pengguna Google,5,2026-06-07 16:16:33,mantapzz
Pengguna Google,4,2026-06-07 16:08:32,Mshku putar lagunya tiap mlm
Pengguna Google,4,2026-06-07 16:07:53,kenapa YouTube sasa gak bisa Di buns lagi
Pengguna Google,5,2026-06-07 16:04:13,hala yanti
Pengguna Google,1,2026-06-07 16:03:19,"kenapa video short YouTube, video YouTube, livestreaming game YouTube dan livestreaming YouTube saya nol penonton... tolong konfirmasi"
Pengguna Google,1,2026-06-07 16:02:59,hei ini apk YouTube semakin lama bukannya semakin bagus malah sebaliknya banyak bug lah stak lah apalh tolonglah
Pengguna Google,1,2026-06-07 16:02:33,iklannya makin panjan
Pengguna Google,1,2026-06-07 15:59:24,kok setelah update jadi sering force close ya yt
Pengguna Google,1,2026-06-07 15:58:35,Tidak bisa di gunakan.
Pengguna Google,1,2026-06-07 15:58:07,Bet bukmcup di awet iv grup seru
Pengguna Google,3,2026-06-07 15:57:30,ripal
Pengguna Google,5,2026-06-07 15:54:52,ok ok
Pengguna Google,1,2026-06-07 15:54:00,Ga di buka
Pengguna Google,5,2026-06-07 15:50:37,Mantap
Pengguna Google,1,2026-06-07 15:49:34,"Iklan 1 menit no skip 🤣🤣 Setiap skip vidio iklan,mana pinjol (pinjaman kont*ol) 🤣👎 Gua tau itu emng kekurangan ngak premium, cuma pas tahun 2020an nggk gini, apa mungkin karena Rp melemah kek mental boomer di gedung hijau berbarikade pagar 100km🤣🤣🤣👎"
Pengguna Google,1,2026-06-07 15:49:12,Tidak bisa di buka
Pengguna Google,4,2026-06-07 15:48:24,Pokok nya puas . few
Pengguna Google,1,2026-06-07 15:44:46,terbaru
Pengguna Google,2,2026-06-07 15:36:31,Pgn liat pengalaman
Pengguna Google,5,2026-06-07 15:33:38,Mntap
Pengguna Google,1,2026-06-07 15:32:01,ok
Pengguna Google,1,2026-06-07 15:31:03,mohon untuk pihak YouTube jikalau follower atau subscribe sdh naik jgn di kurangi atau di hilangkan subscribe nya yg sdh di dapat krna tdak mudah untuk mencari subscribe dgn susah payah tiba-tiba hilang subscribe yg telah di dapatkan dgn susah payah mhon hargai susah payah dan jerih payah orang lain trimakasih. 🙏
Pengguna Google,2,2026-06-07 15:30:38,kenapa pesbukku gabisa di pake
Pengguna Google,5,2026-06-07 15:30:26,Aku mau masuk
Pengguna Google,4,2026-06-07 15:24:04,Romairama
Pengguna Google,5,2026-06-07 15:21:22,Bagus
Pengguna Google,5,2026-06-07 15:17:31,kren
Pengguna Google,4,2026-06-07 15:14:23,ibadan
Pengguna Google,5,2026-06-07 15:12:08,bagus
Pengguna Google,5,2026-06-07 15:10:48,Baguss
Pengguna Google,5,2026-06-07 15:10:22,Gimana cara menggunakan you Tube
Pengguna Google,2,2026-06-07 15:09:05,mau downloadjadi film offline jadi lolam
Pengguna Google,5,2026-06-07 15:08:37,bguz
Pengguna Google,1,2026-06-07 15:07:26,"oy youtube cemmana lah apk kau ini lagi asik nonton ini malah gangguan ga bisa di play sama sekali short juga, udah ku coba keluar terus masuk lagi ga bisa lo, ganti akun sama aja, ku coba lagi keluar terus masuk lagi video yang di saranin sama semua sampe ke short nya juga 10 ku coba"
Pengguna Google,1,2026-06-07 15:03:35,"bro u gotta be kidding, why this apk always get lag"
Pengguna Google,5,2026-06-07 15:02:58,Gk ada
Pengguna Google,1,2026-06-07 15:01:40,apaansih? benci banget kalo ada iklan judi.
Pengguna Google,3,2026-06-07 15:01:05,No coment
Pengguna Google,5,2026-06-07 14:59:53,andri yuda
Pengguna Google,5,2026-06-07 14:59:46,panitia Kurban. Go YouTube video klip ungu ciumman pertamaku 😊😊😊🔛
Pengguna Google,5,2026-06-07 14:58:47,by ok.
Pengguna Google,5,2026-06-07 14:58:21,bagus
Pengguna Google,2,2026-06-07 14:55:09,Ngak bisa di tonton
Pengguna Google,1,2026-06-07 14:53:35,"udah mulai muncul iklan yg gak bisa di skip, apa lagi pas nonton streaming malah diganggu sama iklan 😑"
Pengguna Google,5,2026-06-07 14:52:51,Asik
Pengguna Google,5,2026-06-07 14:50:35,Bagus
Pengguna Google,5,2026-06-07 14:49:42,Bagus sekali
Pengguna Google,5,2026-06-07 14:47:53,bagus
Pengguna Google,5,2026-06-07 14:46:02,pilemq🐎uqel. ☑️
Pengguna Google,5,2026-06-07 14:44:54,okey
Pengguna Google,1,2026-06-07 14:44:37,tidak jelas tolol
Pengguna Google,5,2026-06-07 14:41:14,suka aja sih
Pengguna Google,5,2026-06-07 14:39:23,Sangat puas
Pengguna Google,5,2026-06-07 14:33:57,Ą̵̘̥͉̘͖̱̥̺̿̀̈̒̂̅̀̅̈́̓̏͊͘͝k̵̨̪̖͇͙͎̜͊̌͘͜u̴̢̠͎̲̗̮̤̥̪̖̦͈͕͛̈́̀̒̒̄̚͠ ️ş̵̛̳̍̃̏͆̏̂̎͌͘͝͝͝͝ẹ̷͓̺̰̽̍͛̉̐̔͋̓̚͜ŕ̶̛̰̱̈́̀́̑̿̾͛͂̈́͗̓̈́̒͘͝️i̵̢̢̡͚̩̞̥͕̜̻̫̩̐̈͘͜u̴̢̠͎̲̗̮̤̥̪̖̦͈͕͛̈́̀̒̒̄̚͠️ş̵̛̳̍̃̏͆̏̂̎͌͘͝͝͝͝ kenapa bugnya? hah jelek banget
Pengguna Google,5,2026-06-07 14:33:26,Bagus
Pengguna Google,5,2026-06-07 14:29:46,asik
Pengguna Google,5,2026-06-07 14:27:57,Senang
Pengguna Google,5,2026-06-07 14:26:59,gw ngan
Pengguna Google,1,2026-06-07 14:25:46,"Pas saya buka YouTube kok layarnya malah hitam, padahal saya mau cari ide untuk sehari-hari tapi kok pas saya buka YouTube malah layarnya hitam, tolong di perbaiki!!!!!!!!!!!!."
Pengguna Google,1,2026-06-07 14:25:36,siti
Pengguna Google,1,2026-06-07 14:24:13,jelek bgt
Pengguna Google,5,2026-06-07 14:23:57,mantap
Pengguna Google,5,2026-06-07 14:23:20,Seru untuk temen nonton
Pengguna Google,1,2026-06-07 14:21:34,untunmainn
Pengguna Google,1,2026-06-07 14:19:38,fitur ini jelek mau pindah berita anime voli dll susah
Pengguna Google,1,2026-06-07 14:14:58,"Video short beruang, padahal sudah ditonton tapi muncul lagi di rekomendasi berkali-kali"
Pengguna Google,5,2026-06-07 14:14:53,Ok
Pengguna Google,5,2026-06-07 14:14:39,bagus
Pengguna Google,5,2026-06-07 14:13:51,ku kata sih untuk download mod ini bergua untuk ku biar bisa download mod
Pengguna Google,1,2026-06-07 14:13:36,"Sangat buruk performa YouTube akhir-akhir ini. Sungguh mengecewakan. Bug dimana-mana. Apalagi ketika iklan, bug nya itu sangat menyebalkan. Karena harus me-restart ulang handphone. Karena video tidak bisa di putar kembali jika perpindahan ke iklan sialan itu. Sangat menyebalkan. Sudah banyak yang komplain. Kenapa belum ada perbaikan? hallo pihak YouTube. Team. Staff ? Dimana kalian? kenapa kualitas YouTube semakin memburuk?"
Pengguna Google,5,2026-06-07 14:13:29,slebew
Pengguna Google,1,2026-06-07 14:12:55,makin kesini makin busuk apk ini
Pengguna Google,5,2026-06-07 14:11:13,👍👍👍👍👍
Pengguna Google,1,2026-06-07 14:11:11,tidak bisa di buka
Pengguna Google,1,2026-06-07 14:08:39,Onethy
Pengguna Google,5,2026-06-07 14:08:22,sukses slalu youtube
Pengguna Google,4,2026-06-07 14:07:00,ton cup work also also also idiots soap Kristi outdoors speak outfield rock this clock pushcart iCloud scrap outlast tbsp Kelsi racism khakis expos fob Unix sick Isobel Oxford also hallmark lamp Odell halo usual iCloud slick halo Del brother also into back Cindy Gilberto Santa Claus parade tomorrow at school today and I'm sorry not work. p. ..iCloud sicko rooms soon keep Odell Odell Jack Taco record some also tons epic honcho gold honcho panoramic Hannah landfill UFO pickl overstock Kelci
Pengguna Google,1,2026-06-07 14:04:10,tolong ya ini hp Aku aja yang nge lag atau apa tapiii selalu ga bisa liat YouTube
Pengguna Google,3,2026-06-07 14:02:59,Saya suka dengan youtup ini
Pengguna Google,5,2026-06-07 14:02:16,Mantapkan Man
Pengguna Google,5,2026-06-07 13:58:55,BAGUS DAN BAIK
Pengguna Google,5,2026-06-07 13:57:41,Bagus aku kasih bintang 5
Pengguna Google,5,2026-06-07 13:57:37,Tidak bisa di buka
Pengguna Google,1,2026-06-07 13:57:24,ᴊᴇʟᴇᴋ
Pengguna Google,1,2026-06-07 13:57:18,kenapa youtube ngk bisa pakai
Pengguna Google,1,2026-06-07 13:55:54,"YouTube saat ini main blokir ,vidio yang di aplod,bila ada musik nya,jelek,buruk ga kaya dulu. YouTube 👎👎👎"
Pengguna Google,2,2026-06-07 13:53:05,bug nya bikin gw nangis qnj
Pengguna Google,3,2026-06-07 13:52:45,YouTube sangat dimininati anak muda dan tua
Pengguna Google,5,2026-06-07 13:51:50,bagus
Pengguna Google,1,2026-06-07 13:51:01,sumpah GPP iklan sampe 2 kali tapi sub bahasnya di perbaiki dong
Pengguna Google,1,2026-06-07 13:50:56,susah masuk
Pengguna Google,2,2026-06-07 13:50:46,Enak
Pengguna Google,5,2026-06-07 13:49:30,akun ke banned
Pengguna Google,1,2026-06-07 13:48:21,enak
Pengguna Google,5,2026-06-07 13:47:48,josjis
Pengguna Google,5,2026-06-07 13:41:58,hebat layangan
Pengguna Google,5,2026-06-07 13:38:18,eror
Pengguna Google,5,2026-06-07 13:36:35,Mantap
Pengguna Google,1,2026-06-07 13:36:09,"Saya kurang suka karna,, youtube nya eror dan gk bisa di update"
Pengguna Google,5,2026-06-07 13:35:28,tolong bug berbaiki 🤗
Pengguna Google,3,2026-06-07 13:32:33,Gpp aja yutub nya gak bisa di pakek
Pengguna Google,5,2026-06-07 13:32:19,ok
Pengguna Google,5,2026-06-07 13:27:23,Bgus
Pengguna Google,1,2026-06-07 13:24:46,ikan enggk bisa di sekip
Pengguna Google,1,2026-06-07 13:24:04,Susahh untuk mendonlot
Pengguna Google,5,2026-06-07 13:23:37,sya suka
Pengguna Google,5,2026-06-07 13:22:07,mantap
Pengguna Google,1,2026-06-07 13:20:03,di update makin aneh
Pengguna Google,3,2026-06-07 13:17:55,abis update malah ngeselin
Pengguna Google,5,2026-06-07 13:17:07,Kenapa hp saya ini gak bisa lagi youTube mohon penjelasan dari pihak opsional terima kasih.
Pengguna Google,5,2026-06-07 13:16:55,ga bisa di buka
Pengguna Google,5,2026-06-07 13:16:30,saya suka
Pengguna Google,1,2026-06-07 13:15:57,banyak iklannya dan tidak bisa di skip
Pengguna Google,4,2026-06-07 13:14:47,Keren
Pengguna Google,5,2026-06-07 13:13:56,莫莫莫名
Pengguna Google,1,2026-06-07 13:12:48,Tidak bisa buka
Pengguna Google,1,2026-06-07 13:11:21,lemah
Pengguna Google,5,2026-06-07 13:09:04,I can search anything about my favorite videos
Pengguna Google,1,2026-06-07 13:07:58,"yt semakin lama semakin sering ngebug, seperti shortsnya yang ada blackbarnya kalau habis buka komen, tidak bisa memilih timestamp, tidak bisa balik ke video setelah di minimize, dan banyak lagi, padahal saat masih pakai iphone aman saja tapi setelah balik ke android malah jelek. Tolong lah company sebesar google masa jelek gabisa benerin yt"
Pengguna Google,5,2026-06-07 13:04:34,mantap
Pengguna Google,5,2026-06-07 13:02:15,"aplikasi yang sangat bermanfaat. Karna membantu saya jika sedang bosan, dan di aplikasi ini banyak video yang bagus dan menghibur. Mungkin bagi yang merasa macet, lag, atau ada masalah itu karna masalah di hp yang ""murah"" sehingga memengaruhi kinerja. Dan saya tahu pembuat video, aplikasi juga mencari uang dari iklan dan saya bisa memaklumi. Seluruhnya sudah baik."
Pengguna Google,5,2026-06-07 13:02:06,You Tubg
Pengguna Google,5,2026-06-07 13:01:05,Bagus
Pengguna Google,5,2026-06-07 12:59:34,tidak dapat login
Pengguna Google,3,2026-06-07 12:59:14,Bagus
Pengguna Google,5,2026-06-07 12:58:33,top
Pengguna Google,5,2026-06-07 12:56:19,ok
Pengguna Google,5,2026-06-07 12:55:51,Bagus
Pengguna Google,5,2026-06-07 12:53:06,YouTube ini tidak bisa di-update
Pengguna Google,5,2026-06-07 12:51:14,Sangat bagus
Pengguna Google,5,2026-06-07 12:48:52,Mantap
Pengguna Google,5,2026-06-07 12:47:08,Mantap
Pengguna Google,5,2026-06-07 12:47:03,bagus berguna benget
Pengguna Google,5,2026-06-07 12:46:54,no komen 💯
Pengguna Google,5,2026-06-07 12:46:17,Kok gak kebuka youtube
Pengguna Google,5,2026-06-07 12:45:13,danil
Pengguna Google,3,2026-06-07 12:45:12,kok TDK bisa dibuka atau diinstall lagi
